time,stroke_usec,tick_usec,force,power,spm
565435960,373451,24836,32.417352,80.713482,31.5
565531522,469013,23521,36.142002,116.855484,31.5
565624626,562117,23055,37.619138,154.474622,31.5
565717886,655377,23411,36.482882,190.957504,31.5
565813977,751468,24302,33.849992,224.807496,31.5
566084323,1021814,-38264,13.655538,224.807496,31.5
566247732,1185223,-36366,15.114002,224.807496,31.5
566377225,1314716,-33627,17.677458,224.807496,31.5
566516732,1454223,-36608,14.916722,224.807496,31.5
566688438,1625929,-49263,8.233682,224.807496,31.5
566891340,1828831,-49287,8.225568,224.807496,31.5
567083368,2020859,-50832,7.738178,224.807496,31.5
567332881,2270372,-76797,3.390408,224.807496,31.5
695521627,0,76881,3.38,224,0.4
696083850,562223,54159,6.815432,10.195432,0.4
696235801,714174,32726,18.66605,28.861482,0.4
696348237,826610,25722,30.217538,59.07902,0.4
696444143,922516,23375,36.602568,95.681588,0.4
696537556,1015929,23376,36.585458,132.267046,0.4
696632931,1111304,24255,33.981768,166.248814,0.4
696734444,1212817,26303,28.895202,195.144016,0.4
697015255,1493628,-13168,115.337672,195.144016,0.4
697066489,1544862,-64402,4.817408,195.144016,0.4
697121771,1600144,-119684,1.39445,195.144016,0.4
697183406,1661779,-16299,75.27645,195.144016,0.4
697254664,1733037,-19325,53.540552,195.144016,0.4
697337785,1816158,-22133,40.824648,195.144016,0.4
697434920,1913293,-26043,29.475842,195.144016,0.4
697559496,2037869,-37660,14.09805,195.144016,0.4
697783726,0,66908,4.464072,195,26.5
697945908,162182,31545,20.0978,24.561872,26.5
698154969,371243,23276,36.911232,90.353104,26.5
698244093,460367,21765,42.209672,132.562776,26.5
698330064,546338,21421,43.580448,176.143224,26.5
698415938,632212,21510,43.226402,219.369626,26.5
698504448,720722,22519,39.4272,258.796826,26.5
698597542,813816,23842,35.179272,293.976098,26.5
698862083,1078357,-13912,103.334688,293.976098,26.5
698917113,1133387,-68942,4.205,293.976098,26.5
698976756,1193030,-15954,78.575648,293.976098,26.5
699045603,1261877,-18321,59.579528,293.976098,26.5
699122363,1338637,-20097,49.50125,293.976098,26.5
699206433,1422707,-22424,39.765362,293.976098,26.5
699306574,1522848,-27714,26.035328,293.976098,26.5
699483287,1699561,-70439,4.027122,293.976098,26.5
699729609,0,36889,14.6882,293,30.8
699853302,123693,28573,24.486002,39.174202,30.8
699961009,231400,25812,30.015752,69.189954,30.8
700058516,328907,23749,35.4482,104.638154,30.8
700151036,421427,22914,38.088992,142.727146,30.8
700242982,513373,22924,38.054088,180.781234,30.8
700335642,606033,23358,36.653922,217.435156,30.8
700431165,701556,24129,34.345472,251.780628,30.8
700705610,976001,-66693,4.494002,251.780628,30.8
700752746,1023137,-113829,1.541768,251.780628,30.8
700803496,1073887,-164579,0.736898,251.780628,30.8
700860504,1130895,-221587,0.406802,251.780628,30.8
700928527,1198918,-18304,59.688738,251.780628,30.8
701013982,1284373,-23503,36.193032,251.780628,30.8
701121180,1391571,-30007,22.204448,251.780628,30.8
701316093,1586484,-78192,3.266568,251.780628,30.8
701545718,0,35859,15.545888,251,33
701666866,121148,27746,25.977632,41.52352,33
701771969,226251,25075,31.808288,73.331808,33
701867257,321539,23147,37.3248,110.656608,33
701957347,411629,22227,40.482002,151.13861,33
