workout_time_usec,stroke_time_usec,tick_duration_usec,inst_drag,stroke_power,inst_spm
1021403819,524560,24061,34.544672,98.33553,24.6
1021497476,618217,23002,37.792818,136.128348,24.6
1021590360,711101,23195,37.169442,173.29779,24.6
1021686438,807179,24542,33.194952,206.492742,24.6
1022004755,1125496,-34682,16.623378,206.492742,24.6
1022116112,1236853,-26400,28.682738,206.492742,24.6
1022219570,1340311,-26362,28.773698,206.492742,24.6
1022328980,1449721,-29300,23.283488,206.492742,24.6
1022466523,1587264,-39654,12.710882,206.492742,24.6
1022641964,1762705,-44051,10.3058,206.492742,24.6
1022797380,1918121,-37880,13.928642,206.492742,24.6
1022963802,2084543,-48397,8.536712,206.492742,24.6
1023277129,0,53461,6.9938,206,25
1023446677,169548,38812,13.271552,20.265352,25
1023584033,306904,32084,19.418912,39.684264,25
1023701623,424494,27998,25.504082,65.188346,25
1023807372,530243,25541,30.65445,95.842796,25
1023906642,629513,24447,33.4562,129.298996,25
1024004428,727299,24464,33.407138,162.706134,25
1024105663,828534,25947,29.706632,192.412766,25
1024465073,1187944,-36344,15.136002,192.412766,25
1024573345,1296216,-25663,30.357632,192.412766,25
1024670886,1393757,-24590,33.064712,192.412766,25
1024770865,1493736,-26328,28.849608,192.412766,25
1024890124,1612995,-34074,17.216712,192.412766,25
1025058702,1781573,-42231,11.205378,192.412766,25
1025198346,1921217,-33650,17.653682,192.412766,25
1025349636,2072507,-44213,10.224242,192.412766,25
1025641056,0,51082,7.659698,192,25.3
1025808090,167034,38139,13.739282,21.39898,25.3
1025943604,302548,31508,20.135858,41.534838,25.3
1026057114,416058,26734,27.9752,69.510038,25.3
1026157455,516399,24119,34.378632,103.88867,25.3
1026251707,610651,23226,37.06605,140.95472,25.3
1026344922,703866,23363,36.6368,177.59152,25.3
1026442166,801110,24970,32.064032,209.655552,25.3
1026797893,1156837,-44278,10.197128,209.655552,25.3
1026917227,1276171,-27101,27.217442,209.655552,25.3
1027019310,1378254,-26054,29.460488,209.655552,25.3
1027127582,1486526,-29320,23.2562,209.655552,25.3
1027268012,1626956,-41110,11.829248,209.655552,25.3
1027428828,1787772,-38659,13.374792,209.655552,25.3
1027578720,1937664,-38546,13.457672,209.655552,25.3
1027759418,2118362,-53835,6.896898,209.655552,25.3
1028010169,0,58114,5.9168,209,25.3
1028174688,164519,36921,14.666528,20.583328,25.3
1028306659,296490,30752,21.138002,41.72133,25.3
1028416705,406536,25794,30.046752,71.768082,25.3
1028513135,502966,23168,37.255712,109.023794,25.3
1028692958,682789,22509,39.462728,188.645244,25.3
1028785913,775744,23844,35.162498,223.807742,25.3
1029154101,1143932,-40683,12.083528,223.807742,25.3
1029277548,1267379,-29542,22.91645,223.807742,25.3
1029392351,1382182,-29416,23.106402,223.807742,25.3
1029512317,1502148,-31997,19.53125,223.807742,25.3
1029664325,1654156,-43402,10.616832,223.807742,25.3
1029837071,1826902,-42267,11.18645,223.807742,25.3
1029994315,1984146,-39445,12.85245,223.807742,25.3
1030180512,2170343,-56208,6.329682,223.807742,25.3
1030378519,0,198007,0.51005,223,25.3
1030547803,169284,38116,13.760258,14.270308,25.3
1030683193,304674,31514,20.135858,34.406166,25.3
1030898322,519803,24134,34.328898,96.233592,25.3
1030992343,613824,23076,37.549778,133.78337,25.3
1031085595,707076,23289,36.859698,170.643068,25.3
1031182803,804284,25084,31.776392,202.41946,25.3
1031512423,1133904,-39346,12.913362,202.41946,25.3
1031633989,1255470,-29401,23.133602,202.41946,25.3
1031749790,1371271,-30054,22.137858,202.41946,25.3
1031872423,1493904,-32240,19.232402,202.41946,25.3
1032017798,1639279,-40303,12.310722,202.41946,25.3
1032180368,1801849,-40327,12.290882,202.41946,25.3
1032331500,1952981,-38217,13.686912,202.41946,25.3
1032503512,2124993,-50077,7.968032,202.41946,25.3
1032786303,0,51765,7.457522,202,24.9
1032947698,161395,35936,15.479048,22.93657,24.9
1033074626,288323,29544,22.902912,45.839482,24.9
1033181712,395409,25217,31.44245,77.281932,24.9
1033276994,490691,22985,37.845,115.126932,24.9
1033366484,580181,22042,41.150592,156.277524,24.9
1033455507,669204,22331,40.104968,196.382492,24.9
1033548313,762010,24089,34.461602,230.844094,24.9
1033925574,1139271,-44120,10.269512,230.844094,24.9
1034063520,1277217,-33108,18.2408,230.844094,24.9
1034199441,1413138,-36234,15.224162,230.844094,24.9
1034368190,1581887,-44430,10.125,230.844094,24.9
1034541779,1755476,-42482,11.073218,230.844094,24.9
1034696293,1909990,-37650,14.108672,230.844094,24.9
1034840999,2054696,-37404,14.289858,230.844094,24.9
1035030419,2244116,-59789,5.591168,230.844094,24.9
1035201343,0,170924,0.68445,230,24.8
1035381860,180517,38813,13.271552,13.956002,24.8
1035519771,318428,32365,19.083842,33.039844,24.8
1035636949,435606,27588,26.266752,59.306596,24.8
1035739659,538316,24586,33.080978,92.387574,24.8
1035834537,633194,23319,36.773888,129.161462,24.8
1035928270,726927,23419,36.4658,165.627262,24.8
1036025142,823799,24744,32.659362,198.286624,24.8
1036421490,1220147,-47100,9.014258,198.286624,24.8
1036567299,1365956,-34900,16.41645,198.286624,24.8
1036707437,1506094,-35734,15.657608,198.286624,24.8
1036858631,1657288,-40558,12.15245,198.286624,24.8
1037044198,1842855,-50563,7.817058,198.286624,24.8
1037224106,2022763,-42396,11.120328,198.286624,24.8
1037388333,2186990,-43325,10.653728,198.286624,24.8
1037597173,2395830,-60540,5.451602,198.286624,24.8
1037778175,0,181002,0.609408,198,23.2
1037956584,178409,39223,12.994802,13.60421,23.2
1038096384,318209,32720,18.678272,32.282482,23.2
1038212966,434791,27250,26.923122,59.205604,23.2
1038314419,536244,24195,34.163378,93.368982,23.2
1038408066,629891,22934,38.0192,131.388182,23.2
1038499929,721754,22933,38.0192,169.407382,23.2
1038594635,816460,24104,34.411808,203.81919,23.2
1039008953,1230778,-47767,8.761298,203.81919,23.2
1039156944,1378769,-33225,18.108162,203.81919,23.2
1039301573,1523398,-37552,14.172488,203.81919,23.2
1039469622,1691447,-45884,9.496082,203.81919,23.2
1039650271,1872096,-45647,9.5922,203.81919,23.2
1039819596,2041421,-40575,12.142592,203.81919,23.2
1039977501,2199326,-40775,12.024608,203.81919,23.2
1040180781,2402606,-64993,4.730888,203.81919,23.2
1040523065,0,41762,11.462472,203,21.8
1040669305,146240,33681,17.629922,29.092394,21.8
1040791035,267970,28531,24.556032,53.648426,21.8
1040897421,374356,25543,30.638792,84.287218,21.8
1040995206,472141,23962,34.827858,119.115076,21.8
1041091578,568513,24102,34.428402,153.543478,21.8
1041191982,668917,25836,29.9538,183.497278,21.8
1041524476,1001411,-41568,11.56805,183.497278,21.8
1041665493,1142428,-34953,16.3592,183.497278,21.8
1041815687,1292622,-41078,11.848712,183.497278,21.8
1042003164,1480099,-49371,8.20125,183.497278,21.8
1042197239,1674174,-49554,8.144648,183.497278,21.8
1042371893,1848828,-41069,11.848712,183.497278,21.8
1042534123,2011058,-42211,11.224322,183.497278,21.8
1042721188,2198123,-53647,6.948992,183.497278,21.8
1042994444,0,58028,5.937458,183,24.2
1043166401,171957,37146,14.493728,20.431186,24.2
1043296330,301886,30606,21.346578,41.777764,24.2
1043408555,414111,26727,27.990162,69.767926,24.2
1043510374,515930,24671,32.853618,102.621544,24.2
1043606723,612279,23896,35.011712,137.633256,24.2
1043703867,709423,24426,33.505298,171.138554,24.2
1043805151,810707,25957,29.675808,200.814362,24.2
1044155790,1161346,-60932,5.385762,200.814362,24.2
1044330326,1335882,-42290,11.176992,200.814362,24.2
1044498271,1503827,-43497,10.570802,200.814362,24.2
1044675181,1680737,-46047,9.426482,200.814362,24.2
1044853838,1859394,-44188,10.242338,200.814362,24.2
1045009627,2015183,-37961,13.875912,200.814362,24.2
1045167672,2173228,-41880,11.395538,200.814362,24.2
1045357925,2363481,-53228,7.053768,200.814362,24.2
1045655374,0,52397,7.280928,200,22.5
1045824410,169036,37555,14.172488,21.453416,22.5
1045958561,303187,31002,20.80125,42.254666,22.5
1046070498,415124,26501,28.471058,70.725724,22.5
1046170209,514835,23983,34.761122,105.486846,22.5
1046263093,607719,22892,38.158848,143.645694,22.5
1046355495,700121,23123,37.393952,181.039646,22.5
1046451866,796492,24824,32.449568,213.489214,22.5
1046797565,1142191,-52684,7.204808,213.489214,22.5
1046971992,1316618,-42129,11.262258,213.489214,22.5
1047136264,1480890,-42345,11.148642,213.489214,22.5
1047309896,1654522,-45818,9.522248,213.489214,22.5
1047497391,1842017,-47747,8.769672,213.489214,22.5
1047660246,2004872,-37960,13.875912,213.489214,22.5
1047804841,2149467,-36863,14.709888,213.489214,22.5
1047972750,2317376,-48172,8.61125,213.489214,22.5
1048303667,0,50178,7.936128,213,22.6
1048465401,161734,35830,15.5682,23.504328,22.6
1048595076,291409,30145,22.004978,45.509306,22.6
1048800753,497086,23388,36.55125,112.122814,22.6
1048891629,587962,22459,39.640608,151.763422,22.6
1048982754,679087,22952,37.949472,189.712894,22.6
1049078353,774686,24711,32.740232,222.453126,22.6
1049431122,1127455,-56619,6.237512,222.453126,22.6
1049602758,1299091,-40829,11.995202,222.453126,22.6
1049763697,1460030,-43118,10.755522,222.453126,22.6
1049938252,1634585,-46368,9.296672,222.453126,22.6
